trade_date,history_dates,history_start,history_end,weight_score,weight_s_liquidity,weight_liquidity_detail_score,weight_score_liq_breakout_adj,weight_s_rs,weight_s_breakout,raw_score,raw_s_liquidity,raw_liquidity_detail_score,raw_score_liq_breakout_adj,raw_s_rs,raw_s_breakout,method,raw_ic_score,raw_ic_s_liquidity,raw_ic_liquidity_detail_score,raw_ic_score_liq_breakout_adj,raw_ic_s_rs,raw_ic_s_breakout
2024-12-12,20,2024-10-24,2024-11-20,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,,spearman_ic,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-13,20,2024-10-25,2024-11-21,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,,spearman_ic,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-16,20,2024-10-28,2024-11-22,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,,spearman_ic,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-17,20,2024-10-29,2024-11-25,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,,spearman_ic,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-18,20,2024-10-30,2024-11-26,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,,spearman_ic,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-19,20,2024-10-31,2024-11-27,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,,spearman_ic,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-20,20,2024-11-01,2024-11-28,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,,spearman_ic,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-23,20,2024-11-04,2024-11-29,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,,spearman_ic,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-24,20,2024-11-05,2024-12-02,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,,spearman_ic,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-25,20,2024-11-06,2024-12-03,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,,spearman_ic,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-26,20,2024-11-07,2024-12-04,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,,spearman_ic,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-27,20,2024-11-08,2024-12-05,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,,spearman_ic,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-30,20,2024-11-11,2024-12-06,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,,spearman_ic,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-31,20,2024-11-12,2024-12-09,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,,spearman_ic,0.0,0.0,0.0,0.0,0.0,0.0
