event_uid,event_date,symbol,ts_code,rel_ret_d0,rel_ret_d1,rel_ret_d2,rel_ret_d3,rel_ret_d4,rel_ret_d5,rel_ret_d6,rel_ret_d7,rel_ret_d8,rel_ret_d9,rel_ret_d10,rel_ret_d11,rel_ret_d12,rel_ret_d13,rel_ret_d14,rel_ret_d15,rel_ret_d16,rel_ret_d17,rel_ret_d18,rel_ret_d19,rel_ret_d20
20260203_688231_01,2026-02-03,688231,688231.SH,0.0,-0.004584,0.011788,-0.040602,-0.010478,-0.018009,-0.028487,0.04224,0.044532,0.08186,0.090046,0.210216,0.229208,0.158481,0.057957,0.053045,0.067453,0.101179,0.127046,0.184676,0.160773
20260204_000012_02,2026-02-04,000012,000012.SZ,0.0,-0.016771,-0.025157,-0.002096,-0.012579,0.004193,-0.020964,-0.046122,-0.012579,0.085954,0.056604,0.054507,0.033543,0.012579,0.002096,0.008386,0.014675,0.014675,0.018868,0.035639,0.035639
20260204_000739_01,2026-02-04,000739,000739.SZ,0.0,-0.009482,-0.010008,-0.012116,-0.024762,-0.013172,-0.022654,-0.042675,-0.047942,-0.032137,-0.043201,-0.047942,-0.060063,-0.079032,-0.10063,-0.099053,-0.067968,-0.073235,-0.053214,-0.023711,-0.033719
20260204_001299_01,2026-02-04,001299,001299.SZ,0.0,-0.012649,-0.010418,-0.008188,-0.013394,0.023067,-0.003721,-0.021576,0.009673,0.012649,0.011903,0.026043,0.046129,0.15104,0.06845,0.044643,0.022322,0.01711,0.024552,0.047619,0.040922
20260204_001914_01,2026-02-04,001914,001914.SZ,0.0,0.004184,-0.025105,-0.01841,-0.024268,-0.032636,-0.044351,-0.061925,-0.050209,-0.005858,-0.025941,-0.024268,-0.030126,-0.046862,-0.102092,-0.11046,-0.105439,-0.120502,-0.112971,-0.097071,-0.097071
20260204_002292_01,2026-02-04,002292,002292.SZ,0.0,0.009474,-0.006316,0.041053,0.145263,0.083158,0.027368,0.011579,-0.025263,-0.024211,-0.035789,-0.033684,-0.071579,-0.106316,-0.113684,-0.1,-0.098947,-0.097895,-0.092632,-0.096842,-0.105263
20260204_002306_01,2026-02-04,002306,002306.SZ,0.0,-0.00905,0.004525,0.004525,-0.004525,-0.004525,-0.022624,-0.022624,0.0,0.036199,0.085973,0.095023,0.131222,0.095023,0.067873,0.108597,0.058824,0.004525,0.00905,0.022624,0.027149
20260204_300569_01,2026-02-04,300569,300569.SZ,0.0,-0.031646,-0.022152,-0.003165,-0.014241,-0.015823,-0.02057,-0.036392,-0.004747,-0.003165,0.031646,0.03481,0.007911,0.001582,0.001582,0.03481,0.045886,0.060127,0.071203,0.102848,0.115506
20260204_301251_01,2026-02-04,301251,301251.SZ,0.0,0.008555,0.033235,0.042284,0.055117,0.025502,0.025008,-0.00181,0.011023,0.029944,0.150872,0.105462,0.151695,0.064495,0.063014,0.06433,0.075354,0.020401,0.103159,0.233959,0.186739
20260204_301287_01,2026-02-04,301287,301287.SZ,0.0,0.003725,0.007888,0.017748,0.014242,0.006792,-0.00241,-0.002629,0.0195,0.00986,0.008764,-0.012708,-0.026293,-0.060473,-0.072524,-0.064855,-0.040754,-0.057187,-0.019281,-0.033523,-0.05631
