trade_date,symbol,action,s60_shares,entry_price,in_risk,epc_shares,exit_price,fwd_5d,fwd_10d,fwd_20d
2025-10-21,000426,SKIPPED_BUY,600.0,30.98,False,,,-0.046482,-0.101679,-0.038412
2025-10-21,601288,SKIPPED_BUY,6300.0,7.88,False,,,0.054569,0.034264,0.03934
2025-10-29,300476,SKIPPED_BUY,100.0,339.0,False,,,-0.119794,-0.148968,-0.182891
2025-10-30,301308,SKIPPED_BUY,200.0,283.0,False,,,-0.050177,0.152686,-0.155159
2025-10-31,300502,SKIPPED_BUY,100.0,344.31,False,,,0.015916,-0.097964,0.010136
2025-11-04,002812,SKIPPED_BUY,800.0,47.86,False,,,0.128709,0.266611,0.0
2025-11-04,603686,SKIPPED_BUY,1200.0,33.47,False,,,0.0487,-0.160741,-0.144308
2025-11-12,002407,SKIPPED_BUY,900.0,34.27,False,,,0.109425,-0.054858,-0.082288
2025-11-13,300724,SKIPPED_BUY,500.0,100.68,False,,,-0.11025,-0.162892,-0.087704
2025-11-14,300475,SKIPPED_BUY,200.0,174.59,False,,,-0.275961,-0.187296,-0.186723
2025-11-18,000833,SKIPPED_BUY,2100.0,23.12,False,,,-0.134948,-0.105969,-0.222751
2025-11-21,002240,SKIPPED_BUY,1700.0,36.63,False,,,-0.037401,-0.191919,-0.090909
2025-11-26,300620,SKIPPED_BUY,200.0,150.65,False,,,-0.067441,0.145569,0.044939
2025-11-28,601138,SKIPPED_BUY,600.0,60.72,False,,,0.006588,0.016963,0.051383
2025-12-01,300058,SKIPPED_BUY,3400.0,10.29,False,,,-0.069971,-0.164237,-0.12828
2025-12-02,002241,SKIPPED_BUY,1400.0,31.32,False,,,-0.028736,-0.096424,-0.077267
2025-12-05,000426,SKIPPED_BUY,1700.0,35.48,False,,,-0.016347,-0.004228,0.135569
2025-12-15,603019,SKIPPED_BUY,400.0,85.48,False,,,0.022812,-0.003393,0.093004
2025-12-16,300395,SKIPPED_BUY,300.0,92.5,False,,,0.115676,0.127568,0.053514
2025-12-16,300476,SKIPPED_BUY,100.0,287.09,False,,,0.072834,0.032777,-0.014003
2025-12-16,600118,SKIPPED_BUY,700.0,54.3,False,,,0.106998,0.589687,0.967403
2025-12-19,000657,SKIPPED_BUY,2400.0,27.3,False,,,0.080586,0.088645,0.387912
2025-12-29,000559,SKIPPED_BUY,1800.0,14.26,False,,,0.249649,0.317672,0.248247
2025-12-30,002759,SKIPPED_BUY,600.0,46.03,False,,,0.018901,-0.019118,-0.201608
2025-12-30,600362,SKIPPED_BUY,1100.0,50.25,False,,,0.095124,0.233831,0.402388
2025-12-31,002465,SKIPPED_BUY,2600.0,15.75,False,,,0.269841,0.368889,0.110476
2026-01-06,300058,SKIPPED_BUY,4400.0,13.66,False,,,0.526354,0.301611,0.614934
2026-01-14,300442,SKIPPED_BUY,100.0,90.71,False,,,-0.175394,-0.108698,0.0
2026-01-15,002230,SKIPPED_BUY,800.0,63.39,False,,,-0.078088,-0.037703,-0.088184
2026-01-15,600089,SKIPPED_BUY,1600.0,28.49,False,,,0.014391,-0.027729,0.015093
2026-01-16,603881,SKIPPED_BUY,1800.0,35.57,False,,,-0.015181,0.056227,0.203261
2026-01-20,688525,SKIPPED_BUY,400.0,190.38,False,,,-0.021431,-0.085408,-0.115138
2026-01-28,600489,SKIPPED_BUY,500.0,37.71,False,,,-0.163087,-0.186688,-0.154071
2026-01-29,600547,SKIPPED_BUY,500.0,60.61,False,,,-0.244019,-0.225375,-0.240719
2026-01-29,601899,SKIPPED_BUY,1200.0,43.45,False,,,-0.13809,-0.085155,-0.146145
