strategy,signal_date,execution_date,rank,symbol,name,industry,rank_score,planned_shares,planned_price,filled_shares,filled_price,exit_date,exit_price,gross_return,net_return,net_pnl,entry_cost,round_trip_cost,plan_reject_reason,trade_reject_reason,execution_tradable,locked,skipped_by_position_cap,risk_decision,risk_governor_reasons,large_slippage_proxy,limit_up_buy_ratio,unfilled_ratio_proxy,limit_down_sell_ratio,open_gap_proxy,estimated_turnover_impact,execution_mode,causality_pass,exit_reason
dual_system_adaptive_route,2024-09-03,2024-09-04,4,601328,交通银行,银行,93.53947660020684,0,,,,,,,,,,,,,,0,1,,,0.0058104182149855,0.0,0.0,0.0,-0.0058104182149855,0.0,,,
dual_system_adaptive_route,2024-09-03,2024-09-04,5,601939,建设银行,银行,93.39860197972229,0,,,,,,,,,,,,,,1,0,,,0.0054563111758542,0.0,0.0,0.0,-0.0054563111758542,0.0,,,
dual_system_adaptive_route,2024-09-04,2024-09-05,1,603228,景旺电子,元器件,93.85601087640696,0,,,,,,,,,,,,,,0,1,,,0.0011758859921632,0.0,0.0,0.0,-0.0011758859921632,0.0,,,
dual_system_adaptive_route,2024-09-04,2024-09-05,2,601288,农业银行,银行,93.47643479042785,0,,,,,,,,,,,,,,1,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
dual_system_adaptive_route,2024-09-04,2024-09-05,3,002261,拓维信息,软件服务,92.85868927958464,0,,,,,,,,,,,,,,0,1,,,0.024294670846395,0.0,0.0,0.0,-0.024294670846395,0.0,,,
dual_system_adaptive_route,2024-09-04,2024-09-05,4,300476,胜宏科技,元器件,92.48043235867904,0,,,,,,,,,,,,,,0,1,,,0.0003540443431776,0.0,0.0,0.0,-0.0003540443431776,0.0,,,
dual_system_adaptive_route,2024-09-04,2024-09-05,5,601398,工商银行,银行,92.18062791506864,0,,,,,,,,,,,,,,1,0,,,0.0017588020782909,0.0,0.0,0.0,-0.0017588020782909,0.0,,,
dual_system_adaptive_route,2024-09-05,2024-09-06,1,000333,美的集团,家用电器,94.38015169108188,0,,,,,,,,,,,,,,0,1,,,0.0001565255501874,0.0,0.0,0.0,0.0001565255501874,0.0,,,
dual_system_adaptive_route,2024-09-05,2024-09-06,2,603228,景旺电子,元器件,94.03203477166193,0,,,,,,,,,,,,,,0,1,,,0.0123931779337429,0.0,0.0,0.0,-0.0123931779337429,0.0,,,
dual_system_adaptive_route,2024-09-05,2024-09-06,3,002261,拓维信息,软件服务,92.38634146913596,0,,,,,,,,,,,,,,0,1,,,0.0169218372280419,0.0,0.0,0.0,-0.0169218372280419,0.0,,,
dual_system_adaptive_route,2024-09-05,2024-09-06,4,601398,工商银行,银行,90.97836834347866,0,,,,,,,,,,,,,,1,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
dual_system_adaptive_route,2024-09-05,2024-09-06,5,600406,国电南瑞,电气设备,90.7955616284116,0,,,,,,,,,,,,,,0,1,,,0.0039700400466247,0.0,0.0,0.0,0.0039700400466247,0.0,,,
dual_system_adaptive_route,2024-09-06,2024-09-09,1,002463,沪电股份,元器件,91.95456381155728,0,,,,,,,,,,,,,,0,1,,,0.0198697047619655,0.0,0.0,0.0,-0.0198697047619655,0.0,,,
dual_system_adaptive_route,2024-09-06,2024-09-09,2,603228,景旺电子,元器件,91.80229231543728,0,,,,,,,,,,,,,,0,1,,,0.0019852796897423,0.0,0.0,0.0,-0.0019852796897423,0.0,,,
dual_system_adaptive_route,2024-09-06,2024-09-09,3,603920,世运电路,元器件,90.87042481089352,0,,,,,,,,,,,,,,0,1,,,0.0392061696841243,0.0,0.0,0.0,-0.0392061696841243,0.0,,,
dual_system_adaptive_route,2024-09-06,2024-09-09,4,601688,华泰证券,证券,90.39936171096102,0,,,,,,,,,,,,,,0,1,,,0.0054532444544872,0.0,0.0,0.0,-0.0054532444544872,0.0,,,
dual_system_adaptive_route,2024-09-06,2024-09-09,5,002261,拓维信息,软件服务,90.3938125520819,0,,,,,,,,,,,,,,0,1,,,0.0008481764206955,0.0,0.0,0.0,0.0008481764206955,0.0,,,
