strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,hard_stop_loss_count
baseline_full_dynamic_factor_industry_cap2,2026-04-30,2026-04-29,58510.490692500185,656571.0,715081.4906925001,1.4301629813850003,5,0.9181764715573363,5.0,660290.0,5.0,0.0,718800.4906925001,5.0,1.0,4.0,
baseline_full_dynamic_factor_industry_cap2,2026-05-06,2026-04-30,58510.490692500185,723295.0,781805.4906925001,1.5636109813850003,5,0.9251597854081668,5.0,692730.0,5.0,0.0,751240.4906925001,5.0,1.0,5.0,
baseline_full_dynamic_factor_industry_cap2,2026-05-07,2026-05-06,58510.490692500185,733827.0,792337.4906925001,1.5846749813850003,5,0.926154585161227,5.0,738537.0,5.0,0.0,797047.4906925001,5.0,1.0,5.0,
baseline_full_dynamic_factor_industry_cap2,2026-05-08,2026-05-07,58510.490692500185,722618.0,781128.4906925001,1.5622569813850002,5,0.9250949217834464,5.0,721431.0,5.0,0.0,779941.4906925001,5.0,1.0,4.0,
baseline_full_dynamic_factor_industry_cap2,2026-05-11,2026-05-08,58510.490692500185,753146.0,811656.4906925001,1.6233129813850002,5,0.9279122493770987,5.0,751495.0,5.0,0.0,810005.4906925001,5.0,1.0,5.0,
baseline_full_dynamic_factor_industry_cap2,2026-05-12,2026-05-11,3045.107942500181,812138.0,815183.1079425002,1.6303662158850003,5,0.9962645104972968,4.0,616301.0,5.0,2.0,808788.4906925001,5.0,1.0,3.0,
baseline_full_dynamic_factor_industry_cap2,2026-05-13,2026-05-12,3045.107942500181,831020.0,834065.1079425002,1.6681302158850002,5,0.996349076452782,5.0,789176.0,5.0,0.0,792221.1079425002,5.0,1.0,4.0,
baseline_full_dynamic_factor_industry_cap2,2026-05-14,2026-05-13,3516.236942500167,797741.0,801257.2369425001,1.6025144738850001,5,0.9956116003945029,4.0,599995.0,5.0,2.0,841368.1079425002,5.0,1.0,3.0,
baseline_full_dynamic_factor_industry_cap2,2026-05-15,2026-05-14,28984.194442500186,750573.0,779557.1944425001,1.5591143888850003,5,0.9628196691030115,3.0,487936.0,5.0,3.0,798943.4994425002,5.0,1.0,3.0,1.0
baseline_full_dynamic_factor_industry_cap2,2026-05-18,2026-05-15,41097.77044250019,743135.0,784232.7704425002,1.5684655408850006,5,0.947594933556129,3.0,444810.0,5.0,2.0,781894.1944425001,5.0,1.0,3.0,
baseline_full_dynamic_factor_industry_cap2,2026-05-19,2026-05-18,3326.1321925001976,780958.0,784284.1321925002,1.5685682643850003,5,0.9957590214362723,4.0,598315.0,5.0,2.0,769063.7704425002,5.0,1.0,3.0,
baseline_full_dynamic_factor_industry_cap2,2026-05-20,2026-05-19,3326.1321925001976,806225.0,809551.1321925002,1.6191022643850004,5,0.9958913871400661,5.0,777805.0,5.0,0.0,781131.1321925002,5.0,1.0,5.0,
baseline_full_dynamic_factor_industry_cap2,2026-05-21,2026-05-20,3326.1321925001976,787052.1,790378.2321925001,1.5807564643850003,5,0.9957917209039607,5.0,818071.5,5.0,0.0,821397.6321925002,5.0,1.0,4.0,
baseline_full_dynamic_factor_industry_cap2,2026-05-22,2026-05-21,3326.1321925001976,827077.0,830403.1321925002,1.6608062643850003,5,0.9959945572655557,5.0,796731.0,5.0,0.0,800057.1321925002,5.0,1.0,5.0,
baseline_full_dynamic_factor_industry_cap2,2026-05-25,2026-05-22,3326.1321925001976,848825.0,852151.1321925002,1.7043022643850003,5,0.9960967813491695,5.0,831831.0,5.0,0.0,835157.1321925002,5.0,1.0,4.0,
baseline_full_dynamic_factor_industry_cap2,2026-05-26,2026-05-25,2779.0251925001794,830105.84,832884.8651925002,1.6657697303850003,5,0.9966633741245161,4.0,660528.24,5.0,2.0,844454.3721925002,5.0,1.0,4.0,
baseline_full_dynamic_factor_industry_cap2,2026-05-27,2026-05-26,6841.205192500172,820358.0,827199.2051925001,1.6543984103850002,5,0.991729676298579,4.0,706535.0,5.0,1.0,843223.5176925001,5.0,1.0,4.0,1.0
baseline_full_dynamic_factor_industry_cap2,2026-05-28,2026-05-27,6841.205192500172,812252.0,819093.2051925001,1.6381864103850003,5,0.9916478306142311,5.0,802835.0,5.0,0.0,809676.2051925001,5.0,1.0,5.0,
baseline_full_dynamic_factor_industry_cap2,2026-05-29,2026-05-28,225.42119250018732,783615.0,783840.4211925002,1.5676808423850004,5,0.9997124144323187,4.0,682728.0,5.0,2.0,822219.2051925001,5.0,1.0,4.0,
